VESSEL_CODE,VESSEL_NAME,ACTIVE,UPDATED_AT,SOURCE
AAMD,AL AHMED,Y,2026-06-18,Allegro Search Vessel Code
ABNB,ANBIEN BAY,Y,2026-06-18,Allegro Search Vessel Code
ABSK,ANBIEN SKY,Y,2026-06-18,Allegro Search Vessel Code
ACCR,ACACIA REI,Y,2026-06-18,Allegro Search Vessel Code
ACXC,ACX CRYSTAL,Y,2026-06-18,Allegro Search Vessel Code
AD68,AN DONG 68,Y,2026-06-18,Allegro Search Vessel Code
ADAM,ADAMASTOS,Y,2026-06-18,Allegro Search Vessel Code
ADBR,ALDEBARAN,Y,2026-06-18,Allegro Search Vessel Code
ADDG,ANDERSON DRAGON,Y,2026-06-18,Allegro Search Vessel Code
ADDS,ADDISON,Y,2026-06-18,Allegro Search Vessel Code
ADEN,COSCO ADEN,Y,2026-06-18,Allegro Search Vessel Code
ADFT,ADEN FORT,Y,2026-06-18,Allegro Search Vessel Code
ADMG,ADMIRAL GALAXY,Y,2026-06-18,Allegro Search Vessel Code
ADNS,ADONIS,Y,2026-06-18,Allegro Search Vessel Code
ADRT,UNI-ADROIT,Y,2026-06-18,Allegro Search Vessel Code
ADSN,A DAISEN,Y,2026-06-18,Allegro Search Vessel Code
ADVC,ADVANCE,Y,2026-06-18,Allegro Search Vessel Code
AEEX,AEGEAN EXPRESS,Y,2026-06-18,Allegro Search Vessel Code
AEGL,AEGIALI,Y,2026-06-18,Allegro Search Vessel Code
AFIN,AS FIONA,Y,2026-06-18,Allegro Search Vessel Code
AGMN,AGAMEMNON,Y,2026-06-18,Allegro Search Vessel Code
AHOU,A HOUOU,Y,2026-06-18,Allegro Search Vessel Code
AKBM,AKA BHUM,Y,2026-06-18,Allegro Search Vessel Code
AKBO,A KIBO,Y,2026-06-18,Allegro Search Vessel Code
AKRE,AKINADA BRIDGE,Y,2026-06-18,Allegro Search Vessel Code
AL41,ALS 41 (EX)JMN,Y,2026-06-18,Allegro Search Vessel Code
ALBA,AL BIDDA,Y,2026-06-18,Allegro Search Vessel Code
ALBR,ATLANTIC BRIDGE,Y,2026-06-18,Allegro Search Vessel Code
ALED,APL ENGLAND,Y,2026-06-18,Allegro Search Vessel Code
ALES,ATLANTIC EAST,Y,2026-06-18,Allegro Search Vessel Code
ALIA,ALTAVIA,Y,2026-06-18,Allegro Search Vessel Code
ALJY,AL JMELIYAH,Y,2026-06-18,Allegro Search Vessel Code
ALNH,AL NASRIYAH,Y,2026-06-18,Allegro Search Vessel Code
ALPS,EVER ALP,Y,2026-06-18,Allegro Search Vessel Code
ALRA,AL RUMEILA,Y,2026-06-18,Allegro Search Vessel Code
ALRH,AL RAWDAH,Y,2026-06-18,Allegro Search Vessel Code
ALS2,ATLANTIC SPIRIT II,Y,2026-06-18,Allegro Search Vessel Code
ALSD,AL SAADIYAT,Y,2026-06-18,Allegro Search Vessel Code
ALSV,ALS VENUS,Y,2026-06-18,Allegro Search Vessel Code
AMAL,AMALTHEA,Y,2026-06-18,Allegro Search Vessel Code
AMGN,AS MORGANA,Y,2026-06-18,Allegro Search Vessel Code
AMLC,AMALIA C,Y,2026-06-18,Allegro Search Vessel Code
AMO2,AMO 2,Y,2026-06-18,Allegro Search Vessel Code
ANBD,ATHENS BRIDGE,Y,2026-06-18,Allegro Search Vessel Code
ANHI,AN HAI,Y,2026-06-18,Allegro Search Vessel Code
ANYG,AN YANG,Y,2026-06-18,Allegro Search Vessel Code
